time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,distance_from_loc
2023-11-04T15:42:46.395Z,58.5929,-154.2861,8.7,1.1,ml,,,,0.36,ak,ak023e5mphtr,2023-11-04T15:44:55.040Z,Alaska Peninsula,earthquake,,1.0,,,automatic,ak,ak,4931.0133017857825
2023-11-04T07:44:59.800Z,38.8204994,-122.7624969,1.86,2.11,md,47.0,56.0,0.01152,0.05,nc,nc73955855,2023-11-04T09:38:11.157Z,"3 km W of Cobb, CA",earthquake,0.16,0.25,0.12,42.0,automatic,nc,nc,4931.188141913772
2023-11-04T01:34:05.430Z,38.8356667,-122.7903366,1.7,0.28,md,7.0,82.0,0.002738,0.01,nc,nc73955765,2023-11-04T04:17:11.127Z,"6 km WNW of Cobb, CA",earthquake,0.5,1.48,0.19,8.0,automatic,nc,nc,4931.442047271295
2023-11-04T09:14:29.350Z,38.850666,-122.8215027,3.02,0.21,md,8.0,118.0,0.004241,0.01,nc,nc73955880,2023-11-04T11:20:10.664Z,"9 km WNW of Cobb, CA",earthquake,1.41,3.17,0.09,8.0,automatic,nc,nc,4931.895324846832
2023-11-04T12:18:33.010Z,38.7849998,-122.7233353,1.0,1.52,md,15.0,85.0,0.01061,0.03,nc,nc73955965,2023-11-04T14:19:11.707Z,"3 km WNW of Anderson Springs, CA",earthquake,0.26,0.59,0.11,17.0,automatic,nc,nc,4932.039621206983
2023-11-04T08:27:26.630Z,38.8083344,-122.7639999,7.79,0.78,md,10.0,150.0,0.02258,0.07,nc,nc73955875,2023-11-04T10:50:10.570Z,"4 km N of The Geysers, CA",earthquake,1.66,3.81,0.14,10.0,automatic,nc,nc,4932.309305056443
2023-11-04T18:36:27.410Z,38.8359985,-122.8071671,2.15,1.43,md,23.0,52.0,0.01279,0.01,nc,nc73956060,2023-11-04T21:13:13.139Z,"7 km WNW of Cobb, CA",earthquake,0.21,0.41,0.16,25.0,automatic,nc,nc,4932.349248957791
2023-11-04T14:04:13.930Z,38.7986679,-122.7509995,2.66,1.05,md,10.0,97.0,,0.01,nc,nc73955990,2023-11-04T15:59:14.307Z,"2 km N of The Geysers, CA",earthquake,0.38,0.99,0.22,9.0,automatic,nc,nc,4932.4112740975015
2023-11-04T03:40:12.880Z,38.8253326,-122.8040009,2.56,1.07,md,27.0,34.0,0.005123,0.01,nc,nc73955800,2023-11-04T05:00:14.390Z,"7 km NW of The Geysers, CA",earthquake,0.2,0.4,0.12,27.0,automatic,nc,nc,4933.082881139364
2023-11-04T10:36:20.430Z,38.840332,-122.8280029,1.86,0.52,md,16.0,104.0,0.006098,0.01,nc,nc73955945,2023-11-04T12:57:12.225Z,"9 km WNW of Cobb, CA",earthquake,0.26,0.69,0.38,16.0,automatic,nc,nc,4933.137817582384
