time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-11-04T08:48:36.630Z,17.8841666666667,-66.8963333333333,7.33,2.14,md,4.0,291.0,0.09184,0.09,pr,pr71430723,2023-11-04T09:01:47.160Z,"9 km S of Guánica, Puerto Rico",earthquake,0.84,0.35,0.184774812567358,2.0,reviewed,pr,pr
2023-11-04T08:39:04.854Z,31.66,-104.306,8.1111,2.4,ml(texnet),61.0,58.0,0.0,0.2,tx,tx2023vpon,2023-11-04T14:46:07.570Z,"57 km S of Whites City, New Mexico",earthquake,0.6109940244,0.8376315058,0.1,41.0,reviewed,tx,tx
2023-11-04T08:36:38.440Z,17.9753333333333,-66.847,14.36,2.82,md,30.0,177.0,0.0307,0.21,pr,pr71430713,2023-11-04T09:15:22.670Z,"3 km SW of Indios, Puerto Rico",earthquake,0.41,0.41,0.18000426915066,14.0,reviewed,pr,pr
2023-11-04T08:12:52.505Z,51.097,179.0667,20.8,3.0,ml,,,,0.35,ak,ak023e5id1s5,2023-11-04T14:52:07.711Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-11-04T08:11:30.430Z,35.694,-117.5226667,7.92,2.25,ml,31.0,75.0,0.08557,0.15,ci,ci39707258,2023-11-04T08:22:33.290Z,"14 km SW of Searles Valley, CA",earthquake,0.26,0.91,0.157,24.0,automatic,ci,ci
2023-11-04T07:44:59.800Z,38.8204994,-122.7624969,1.86,2.11,md,47.0,56.0,0.01152,0.05,nc,nc73955855,2023-11-04T09:38:11.157Z,"3 km W of Cobb, CA",earthquake,0.16,0.25,0.12,42.0,automatic,nc,nc
2023-11-04T07:20:31.928Z,51.9051,-173.6997,13.8,2.4,ml,,,,0.43,ak,ak023e5hta3k,2023-11-04T14:42:20.442Z,"47 km SE of Atka, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2023-11-04T06:40:58.769Z,59.7778,-153.0698,101.2,2.3,ml,,,,0.26,ak,ak023e5hc6u0,2023-11-04T06:47:52.040Z,"58 km E of Pedro Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-11-04T05:54:02.887Z,39.6315,-119.6417,7.0,2.0,ml,25.0,75.38,0.053,0.1928,nn,nn00868427,2023-11-04T14:14:03.931Z,"5 km ESE of Spanish Springs, Nevada",earthquake,,1.2,0.3,7.0,reviewed,nn,nn
2023-11-04T05:38:30.875Z,37.7238,-97.9654,8.07,2.5,mb_lg,49.0,69.0,0.27,0.36,us,us7000l8tk,2023-11-04T12:47:15.496Z,"7 km SE of Pretty Prairie, Kansas",earthquake,1.82,7.555,0.088,34.0,reviewed,us,us
2023-11-04T03:34:51.234Z,51.7889,174.0456,10.0,4.6,mb,64.0,129.0,0.943,0.83,us,us7000l8t9,2023-11-04T04:06:37.040Z,"131 km SSE of Attu Station, Alaska",earthquake,5.98,1.78,0.049,123.0,reviewed,us,us
2023-11-04T03:20:44.900Z,35.6769981,-121.2473297,8.18,2.5,md,41.0,179.0,,0.19,nc,nc73955790,2023-11-04T06:32:25.044Z,"6 km NW of San Simeon, CA",earthquake,0.55,0.78,0.13,40.0,automatic,nc,nc
2023-11-04T01:40:31.749Z,39.0614,-97.587,10.0,2.9,mb_lg,17.0,87.0,0.762,0.46,us,us7000l8ss,2023-11-04T12:14:55.337Z,"3 km N of Bennington, Kansas",earthquake,2.08,1.988,0.049,108.0,reviewed,us,us
2023-11-04T01:28:02.983Z,39.0992,-97.5842,10.0,3.4,mb_lg,14.0,88.0,0.759,0.53,us,us7000l8sp,2023-11-04T18:16:48.288Z,"7 km N of Bennington, Kansas",earthquake,3.15,1.989,0.04,164.0,reviewed,us,us
2023-11-04T01:23:10.558Z,-41.1703,-89.8059,10.0,4.8,mb,34.0,157.0,12.543,0.93,us,us7000l8t0,2023-11-04T03:15:03.040Z,southeast of Easter Island,earthquake,5.47,1.896,0.109,26.0,reviewed,us,us
2023-11-04T00:53:25.200Z,19.2015,-155.488,32.03,3.02,ml,61.0,57.0,,0.12,hv,hv73638662,2023-11-04T20:29:44.133Z,"Hawaii region, Hawaii",earthquake,0.38,0.46,0.168014890996533,42.0,reviewed,hv,hv
2023-11-04T00:46:44.762Z,63.6171,-147.8595,7.6,2.8,ml,,,,0.86,ak,ak023e5dsuev,2023-11-04T01:04:53.040Z,"53 km ESE of Denali Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-11-04T00:25:40.565Z,-4.0444,128.9644,138.919,4.5,mb,45.0,52.0,1.051,0.73,us,us7000l8s5,2023-11-04T00:51:30.040Z,"78 km S of Amahai, Indonesia",earthquake,8.55,7.076,0.096,32.0,reviewed,us,us
2023-11-04T00:18:29.503Z,1.0637,125.6396,65.088,4.5,mb,24.0,82.0,1.751,0.87,us,us7000l8s4,2023-11-04T02:48:07.009Z,"70 km SE of Bitung, Indonesia",earthquake,10.4,10.919,0.125,19.0,reviewed,us,us
2023-11-03T23:57:40.980Z,17.9926666666667,-67.1596666666667,14.43,2.36,md,10.0,262.0,0.04957,0.12,pr,pr71430703,2023-11-04T00:12:14.800Z,"3 km NE of Pole Ojea, Puerto Rico",earthquake,0.73,0.46,0.0396154304194565,4.0,reviewed,pr,pr
2023-11-03T23:31:52.210Z,19.8828333333333,-156.69,41.22,3.9,ml,59.0,212.0,,0.18,hv,hv73638622,2023-11-04T17:58:03.347Z,"76 km WNW of Kalaoa, Hawaii",earthquake,0.59,1.45,0.166357229729158,48.0,reviewed,hv,hv
2023-11-03T22:31:35.325Z,29.0589,82.2652,10.0,4.0,mb,29.0,114.0,2.936,0.6,us,us7000l8rr,2023-11-04T16:00:59.202Z,"25 km SSE of Jumla, Nepal",earthquake,10.07,1.954,0.173,9.0,reviewed,us,us
2023-11-03T22:02:11.245Z,58.7047,-153.617,17.6,2.1,ml,,,,0.25,ak,ak023e433j7o,2023-11-04T04:12:24.770Z,"82 km NNW of Aleneva, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-11-03T21:48:22.910Z,47.7649,153.5117,10.0,4.8,mb,48.0,137.0,5.98,0.61,us,us7000l8rm,2023-11-03T23:35:50.040Z,Kuril Islands,earthquake,7.16,1.791,0.068,67.0,reviewed,us,us
